TIM                              GSCN       ROUND(RATE)          Headroom   
20181013013123    12555645663136                11            2581.4   
20181013013124    12555645663145                11            2581.4   
20181013020119    12555645683114                10            2581.5   
20181013020120    12555645683143                 8            2581.5   
20181013020130    12555645683225                26            2581.5   
20181013020132    12555645683245                26            2581.5   
20181013050120    12555645962134                17            2581.6   
20181013050123    12555645962150                18            2581.6   
20181013050132    12555645962310                13            2581.6   
20181013050132    12555645962333                13            2581.6   
20181013080119    12555646101304                13            2581.7   
20181013080119    12555646101313                11            2581.7   
20181013080131    12555646101447                11            2581.7   
20181013080131    12555646101456                11            2581.7   
20181013110121    12555646223415                20            2581.8   
20181013110121    12555646223426                17            2581.8   
20181013110133    12555646223629                10            2581.8   
20181013110133    12555646223652                10            2581.8   
20181013140116    12555646326675                10              2582   
20181013140117    12555646326692                10              2582   
20181013140126    12555646326778                12              2582   
20181013140127    12555646326789                12              2582   
20181013170115    12555646458628                10            2582.1   
20181013170117    12555646458632                12            2582.1   
20181013170126    12555646458738             11841            2582.1   
20181013170126    12555646458741             11842            2582.1   
20181013200115    12555774218014                 9            2582.1   
20181013200116    12555774218022                 8            2582.1   
20181013200128    12555774218124                12            2582.1   
20181013200128    12555774218127                12            2582.1   
20181013230136    12555774353184                 8            2582.2   
20181013230136    12555774353188                 8            2582.2   
20181013230148    12555774353287              2989            2582.2   
20181013230149    12555774353290              2990            2582.2   
20181014013209    12555801322607                12            2582.3   
20181014013212    12555801322626                13            2582.3   
20181014013221    12555801322747                12            2582.3   
20181014013221    12555801322750                18            2582.3   
20181014013222    12555801322768                11            2582.3   
20181014013224    12555801322784                11            2582.3   
20181014020120    12555801341697                 8            2582.3   
20181014020121    12555801341700                 9            2582.3   
20181014020130    12555801341782                26            2582.3   
20181014020133    12555801341801                26            2582.3   
20181014050117    12555801622923                 8            2582.5   
20181014050117    12555801622926                 8            2582.5   
20181014050129    12555801623018                13            2582.5   
20181014050129    12555801623021                13            2582.5   
20181014080116    12555801761433                11            2582.6   
20181014080119    12555801761450                14            2582.6   
20181014080126    12555801761548              5869            2582.6   
20181014080128    12555801761566              5871            2582.6   
20181014110122    12555865134913                12            2582.7   
20181014110124    12555865134939                12            2582.7   
20181014110132    12555865135038               573            2582.7   
20181014110134    12555865135062               573            2582.7   
20181014140117    12555871314970                 8            2582.8   
20181014140118    12555871314983                 8            2582.8   
20181014140127    12555871315052                11            2582.8   
20181014140129    12555871315071                11            2582.8   
20181014170117    12555871437733                10            2582.9   
20181014170118    12555871437743                10            2582.9   
20181014170128    12555871437846                 9            2582.9   
20181014170130    12555871437863                 9            2582.9   
20181014200117    12555871535448                 9              2583   
20181014200119    12555871535464                 8              2583   
20181014200127    12555871535529                12              2583   
20181014200129    12555871535552                12              2583   
20181014230122    12555871661377                19            2583.2   
20181014230124    12555871661385                26            2583.2   
20181014230132    12555871661589              9779            2583.2   
20181014230134    12555871661606              9782            2583.2   
20181015015123    12555971331902                18            2583.2   
20181015015124    12555971331913                21            2583.2   
20181015015131    12555971332058                10            2583.2   
20181015015132    12555971332067                13            2583.2   
20181015015136    12555971332110                12            2583.2   
20181015015138    12555971332145                12            2583.2   
20181015020122    12555971338939                10            2583.2   
20181015020123    12555971338950                11            2583.2   
20181015020131    12555971339038                26            2583.2   
20181015020134    12555971339065                26            2583.2   
20181015050124    12555971622981                13            2583.4   
20181015050125    12555971622985                14            2583.4   
20181015050132    12555971623086                11            2583.4   
20181015050133    12555971623095                11            2583.4   
20181015080118    12555971742104                34            2583.5   
20181015080118    12555971742115                38            2583.5   
20181015080128    12555971742497              5885            2583.5   
20181015080130    12555971742518              5886            2583.5   
20181015110123    12556035275333                15            2583.6   
20181015110123    12556035275336                16            2583.6   
20181015110132    12556035275482              1371            2583.6   
20181015110135    12556035275508              1372            2583.6   
20181015140119    12556050068514                 9            2583.7   
20181015140119    12556050068517                 8            2583.7   
20181015140127    12556050068582              1620            2583.7   
20181015140128    12556050068597              1620            2583.7   
20181015170119    12556067553403                11            2583.8   
20181015170119    12556067553407                11            2583.8   
20181015170128    12556067553506               553            2583.8   
20181015170128    12556067553510               553            2583.8   
20181015200124    12556073526618                12            2583.9   
20181015200124    12556073526622                12            2583.9   
20181015200133    12556073526726              1456            2583.9   
20181015200133    12556073526730              1456            2583.9   
20181015230132    12556089250195                11              2584   
20181015230135    12556089250217                10              2584   
20181015230142    12556089250287               715              2584   
20181015230145    12556089250335               715              2584   
20181016013219    12556095713549                14            2584.1   
20181016013220    12556095713553                14            2584.1   
20181016013228    12556095713673                 8            2584.1   
20181016013229    12556095713683                 8            2584.1   
20181016013232    12556095713705                 8            2584.1   
20181016013232    12556095713708                 8            2584.1   
20181016020122    12556095727487                 9            2584.1   
20181016020123    12556095727497                11            2584.1   
20181016020134    12556095727600                11            2584.1   
20181016020135    12556095727624                11            2584.1   
20181016050122    12556095846529                11            2584.3   
20181016050124    12556095846550                11            2584.3   
